Ranking,Country,Regional indicator,Happiness score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Year,Country_Standardized,Region_Standardized
80,Tajikistan,Commonwealth of Independent States,5.3525,2.87522,0.28752,66,0.69498,0.35825,0.2966,2018,Tajikistan,Central Asia
153,Tanzania,Sub-Saharan Africa,3.3035,2.75833,0.27583,61,0.66382,0.45189,0.2127,2018,Tanzania,Eastern Africa
46,Thailand,Southeast Asia,6.0723,6.16091,0.61609,69,0.87972,0.60841,0.06378,2018,Thailand,South-eastern Asia
139,Togo,Sub-Saharan Africa,3.9985,1.57278,0.15728,58,0.59922,0.26475,0.22031,2018,Togo,Western Africa
38,Trinidad & Tobago,Latin America and Caribbean,6.1919,7.41459,0.74146,65,0.79379,0.28628,0.04081,2018,Trinidad and Tobago,Caribbean
111,Tunisia,Middle East and North Africa,4.5924,5.4561,0.54561,68,0.37338,0.06729,0.1373,2018,Tunisia,Northern Africa
74,Turkey,Middle East and North Africa,5.4825,6.96361,0.69636,68,0.4476,0.17672,0.23805,2018,Türkiye,Western Asia
68,Turkmenistan,Commonwealth of Independent States,5.6362,6.1586,0.61586,64,0.57504,0.33316,0.08165,2018,Turkmenistan,Central Asia
135,Uganda,Sub-Saharan Africa,4.1608,1.95126,0.19513,58,0.62074,0.43413,0.13262,2018,Uganda,Eastern Africa
138,Ukraine,Commonwealth of Independent States,4.1029,4.80881,0.48088,66,0.2244,0.31287,0.02504,2018,Ukraine,Eastern Europe
20,United Arab Emirates,Middle East and North Africa,6.7741,8.89677,0.88968,70,0.92458,0.47512,0.40621,2018,United Arab Emirates,Western Asia
19,United Kingdom,Western Europe,6.8143,7.89125,0.78913,72,0.73525,0.59295,0.59538,2018,United Kingdom,Northern Europe
18,United States,North America and ANZ,6.886,8.47785,0.84778,71,0.75547,0.48629,0.292,2018,United States,Northern America
31,Uruguay,Latin America and Caribbean,6.3788,6.626,0.6626,70,0.86249,0.21691,0.33992,2018,Uruguay,South America
44,Uzbekistan,Commonwealth of Independent States,6.0961,4.35917,0.43592,66,1.0,0.54854,0.56622,2018,Uzbekistan,Central Asia
102,Venezuela,Latin America and Caribbean,4.8056,6.03779,0.60378,67,0.18372,0.09425,0.11299,2018,Venezuela,South America
95,Vietnam,Southeast Asia,5.1032,4.33358,0.43336,68,0.85336,0.29628,0.17397,2018,Vietnam,South-eastern Asia
152,Yemen,Middle East and North Africa,3.3549,2.67746,0.26775,60,0.33662,0.13905,0.14037,2018,Yemen,Western Asia
125,Zambia,Sub-Saharan Africa,4.3771,3.41039,0.34104,59,0.69374,0.37046,0.17933,2018,Zambia,Eastern Africa
144,Zimbabwe,Sub-Saharan Africa,3.6923,2.16659,0.21666,58,0.56038,0.22083,0.21651,2018,Zimbabwe,Eastern Africa
1,Finland,Western Europe,7.7689,7.95824,0.9776,76,0.944,0.26989,0.86796,2019,Finland,Northern Europe
2,Denmark,Western Europe,7.6001,8.21474,0.96855,76,0.93839,0.44593,0.90675,2019,Denmark,Northern Europe
3,Norway,Western Europe,7.5539,8.83423,0.97407,77,0.95605,0.47948,0.75302,2019,Norway,Northern Europe
4,Iceland,Western Europe,7.4936,8.19529,1.0,77,0.93609,0.62627,0.26062,2019,Iceland,Northern Europe
5,Netherlands,Western Europe,7.4876,8.28945,0.93733,76,0.8825,0.56986,0.65824,2019,Netherlands,Western Europe
6,Switzerland,Western Europe,7.4802,8.6233,0.94003,77,0.90538,0.46563,0.75685,2019,Switzerland,Western Europe
